state_name,population_male_0_6,population_female_0_6
ANDAMAN & NICOBAR ISLANDS,4852,4506
ANDHRA PRADESH,913593,863253
ASSAM,62882,62641
BIHAR,465151,416335
CHANDIGARH,56020,48172
CHHATTISGARH,189496,175125
GUJARAT,1035073,871290
HARYANA,377623,313320
HIMACHAL PRADESH,7221,6425
JAMMU & KASHMIR,112243,96646
JHARKHAND,268039,240258
KARNATAKA,842414,792809
KERALA,122062,117201
MADHYA PRADESH,670019,596384
MAHARASHTRA,2077225,1853085
MANIPUR ,13347,12530
MEGHALAYA,7120,6672
MIZORAM,17667,17480
NAGALAND,7345,7093
NCT OF DELHI,818660,710865
ORISSA,142577,129057
PUDUCHERRY,26155,25471
PUNJAB,319935,273392
RAJASTHAN,688753,598497
TAMIL NADU,643872,620051
TRIPURA,17341,16294
UTTAR PRADESH,1528442,1330427
UTTARAKHAND,80321,70296
WEST BENGAL,735369,690382
