state_name,population_male,population_female
ANDAMAN & NICOBAR ISLANDS,53247,47361
ANDHRA PRADESH,9192368,8979247
ASSAM,720132,671022
BIHAR,3558722,3155794
CHANDIGARH,525226,435561
CHHATTISGARH,1612019,1525899
GUJARAT,9541688,8293361
HARYANA,3181968,2770255
HIMACHAL PRADESH,93364,76394
JAMMU & KASHMIR,953292,851695
JHARKHAND,2247819,2030440
KARNATAKA,8112840,7687056
KERALA,1335615,1420358
MADHYA PRADESH,5761143,5261948
MAHARASHTRA,19961736,17760400
MANIPUR ,128931,136055
MEGHALAYA,70028,72979
MIZORAM,143803,148019
NAGALAND,65017,58760
NCT OF DELHI,7201322,6280675
ORISSA,1560423,1442811
PUDUCHERRY,266359,275442
PUNJAB,3106473,2715403
RAJASTHAN,5484470,4958546
TAMIL NADU,6957261,6922134
TRIPURA,199616,200072
UTTAR PRADESH,13433369,11869556
UTTARAKHAND,706939,633458
WEST BENGAL,9357777,8705732
